"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","categorizat","period","log_engineSize","l_per_100km","distanta_km","transmission_binara","binar_fuelType","categorizat_numeric"
"SLK",2005,5200,"Automatic",63000,"Petrol",325,32.1,1.8,"S Class","2005-2010",0.587786664902119,7.32741433021807,101388.42,1,1,6
"S Class",2017,34948,"Automatic",27000,"Hybrid",20,61.4,2.1,"S Class","2015-2020",0.741937344729377,3.83078175895765,43452.18,1,1,6
"SL CLASS",2016,49948,"Automatic",6200,"Petrol",555,28,5.5,"S Class","2015-2020",1.70474809223843,8.40035714285714,9977.908,1,1,6
"G Class",2016,61948,"Automatic",16000,"Petrol",325,30.4,4,"G Class","2015-2020",1.38629436111989,7.73717105263158,25749.44,1,1,5
"G Class",2016,73948,"Automatic",4000,"Petrol",325,30.1,4,"G Class","2015-2020",1.38629436111989,7.81428571428571,6437.36,1,1,5
"SL CLASS",2011,149948,"Automatic",3000,"Petrol",570,21.4,6.2,"S Class","2010-2015",1.82454929205105,10.9911214953271,4828.02,1,1,6
"GLE Class",2018,30948,"Automatic",16000,"Diesel",145,47.9,2.1,"G Class","2015-2020",0.741937344729377,4.91043841336117,25749.44,1,0,5
"S Class",2012,10948,"Automatic",107000,"Petrol",265,36.7,3.5,"S Class","2010-2015",1.25276296849537,6.40899182561308,172199.38,1,1,6
"G Class",2019,139948,"Automatic",12000,"Petrol",145,21.4,4,"G Class","2015-2020",1.38629436111989,10.9911214953271,19312.08,1,1,5
"GLA Class",2017,19750,"Automatic",15258,"Diesel",30,64.2,2.1,"A Class","2015-2020",0.741937344729377,3.66370716510903,24555.30972,1,0,1
"A Class",2020,32980,"Automatic",606,"Petrol",145,35.8,2,"A Class","2015-2020",0.693147180559945,6.57011173184358,975.26004,1,1,1
"A Class",2020,26980,"Automatic",1000,"Diesel",145,62.8,1.5,"A Class","2015-2020",0.405465108108164,3.7453821656051,1609.34,1,0,1
"B Class",2019,23750,"Automatic",278,"Diesel",145,55.4,2,"B Class","2015-2020",0.693147180559945,4.2456678700361,447.39652,1,0,2
"GLC Class",2019,67980,"Automatic",5500,"Petrol",145,21.7,4,"G Class","2015-2020",1.38629436111989,10.8391705069124,8851.37,1,1,5
"GLA Class",2016,18980,"Automatic",41713,"Diesel",125,56.6,2.1,"A Class","2015-2020",0.741937344729377,4.15565371024735,67130.39942,1,0,1
"B Class",2017,15890,"Automatic",24841,"Diesel",150,68.9,1.5,"B Class","2015-2020",0.405465108108164,3.41378809869376,39977.61494,1,0,2
"C Class",2017,19890,"Automatic",30281,"Diesel",150,60.1,2.1,"C Class","2015-2020",0.741937344729377,3.91364392678869,48732.42454,1,0,3
"GLE Class",2019,56800,"Automatic",2483,"Petrol",145,29.5,3,"G Class","2015-2020",1.09861228866811,7.97322033898305,3995.99122,1,1,5
"B Class",2017,17513,"Automatic",14128,"Diesel",150,68.9,2.1,"B Class","2015-2020",0.741937344729377,3.41378809869376,22736.75552,1,0,2
"C Class",2014,15701,"Automatic",20498,"Diesel",20,64.2,2.1,"C Class","2010-2015",0.741937344729377,3.66370716510903,32988.25132,1,0,3
"C Class",2019,26601,"Automatic",9949,"Diesel",150,64.2,2,"C Class","2015-2020",0.693147180559945,3.66370716510903,16011.32366,1,0,3
"C Class",2016,17672,"Automatic",31656,"Diesel",30,64.2,2.1,"C Class","2015-2020",0.741937344729377,3.66370716510903,50945.26704,1,0,3
"E Class",2015,20769,"Automatic",21874,"Diesel",165,51.4,3,"E Class","2015-2020",1.09861228866811,4.57607003891051,35202.70316,1,0,4
"E Class",2017,22270,"Automatic",13398,"Diesel",165,52.3,3,"E Class","2015-2020",1.09861228866811,4.49732313575526,21561.93732,1,0,4
"GL Class",2015,34129,"Automatic",13581,"Diesel",330,36.2,3,"G Class","2015-2020",1.09861228866811,6.4975138121547,21856.44654,1,0,5
"SL CLASS",2017,20601,"Automatic",16730,"Diesel",150,70.6,2.1,"S Class","2015-2020",0.741937344729377,3.33158640226629,26924.2582,1,0,6
"CLS Class",2016,25077,"Automatic",13887,"Diesel",165,49.6,3,"S Class","2015-2020",1.09861228866811,4.74213709677419,22348.90458,1,0,6
"SL CLASS",2017,21609,"Automatic",2780,"Diesel",30,70.6,2.1,"S Class","2015-2020",0.741937344729377,3.33158640226629,4473.9652,1,0,6
"SL CLASS",2018,22914,"Automatic",8725,"Petrol",145,47.9,2,"S Class","2015-2020",0.693147180559945,4.91043841336117,14041.4915,1,1,6
"C Class",2016,19328,"Automatic",25042,"Diesel",30,64.2,2.1,"C Class","2015-2020",0.741937344729377,3.66370716510903,40301.09228,1,0,3
"C Class",2019,29546,"Automatic",7990,"Diesel",145,54.3,2,"C Class","2015-2020",0.693147180559945,4.3316758747698,12858.6266,1,0,3
"GLC Class",2019,35611,"Automatic",26153,"Diesel",145,45.6,3,"G Class","2015-2020",1.09861228866811,5.15811403508772,42089.06902,1,0,5
"C Class",2017,15311,"Automatic",31371,"Diesel",20,65.7,2.1,"C Class","2015-2020",0.741937344729377,3.58006088280061,50486.60514,1,0,3
"A Class",2020,28128,"Automatic",2563,"Petrol",145,47.9,1.3,"A Class","2015-2020",0.262364264467491,4.91043841336117,4124.73842,1,1,1
"A Class",2019,23184,"Manual",1173,"Petrol",145,44.8,1.3,"A Class","2015-2020",0.262364264467491,5.25022321428571,1887.75582,0,1,1
"A Class",2017,15787,"Automatic",24092,"Diesel",20,70.6,2.1,"A Class","2015-2020",0.741937344729377,3.33158640226629,38772.21928,1,0,1
"GLC Class",2018,30682,"Automatic",14517,"Diesel",145,56.5,2.1,"G Class","2015-2020",0.741937344729377,4.16300884955752,23362.78878,1,0,5
"A Class",2019,25701,"Automatic",11000,"Diesel",150,56.5,2,"A Class","2015-2020",0.693147180559945,4.16300884955752,17702.74,1,0,1
"C Class",2020,31790,"Automatic",3500,"Petrol",145,64.2,2,"C Class","2015-2020",0.693147180559945,3.66370716510903,5632.69,1,1,3
"A Class",2019,25190,"Automatic",2471,"Diesel",145,56.5,2,"A Class","2015-2020",0.693147180559945,4.16300884955752,3976.67914,1,0,1
"SLK",2014,15990,"Automatic",43955,"Petrol",205,43.5,1.8,"S Class","2010-2015",0.587786664902119,5.40712643678161,70738.5397,1,1,6
"CLS Class",2018,34990,"Automatic",18837,"Diesel",150,47.9,2.9,"S Class","2015-2020",1.06471073699243,4.91043841336117,30315.13758,1,0,6
"GLC Class",2019,30799,"Automatic",9886,"Diesel",145,41.5,2.1,"G Class","2015-2020",0.741937344729377,5.66771084337349,15909.93524,1,0,5
"C Class",2017,19743,"Automatic",16509,"Diesel",145,61.4,2.1,"C Class","2015-2020",0.741937344729377,3.83078175895765,26568.59406,1,0,3
"C Class",2019,24055,"Automatic",7475,"Diesel",145,61.4,2,"C Class","2015-2020",0.693147180559945,3.83078175895765,12029.8165,1,0,3
"B Class",2019,20945,"Automatic",13661,"Petrol",145,45.6,1.3,"B Class","2015-2020",0.262364264467491,5.15811403508772,21985.19374,1,1,2
